Artifact,470.000,4.0,Integrated HD Graphics 520 w/128 MB or better,7.0,Card Game Trading Card Game Strategy Multiplayer e-sports Tactical Competitive Turn-Based Strategy Difficult Fantasy Casual Singleplayer Atmospheric Great Soundtrack Story Rich Turn-Based Indie,28 Nov, 2018,,0
Counter-Strike: Global Offensive,165.000,2.0,Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0,15.0,FPS Multiplayer Shooter Action Team-Based Competitive Tactical First-Person e-sports PvP Online Co-Op Military Co-op Strategy War Trading Difficult Realistic Fast-Paced Moddable,21 Aug, 2012,2058377,88
Dota 2,0,4.0,nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600,15.0,Free to Play MOBA Strategy Multiplayer Team-Based Action e-sports Online Co-Op Competitive PvP RTS Difficult RPG Fantasy Tower Defense Co-op Character Customization Replay Value Action RPG Simulation,9 Jul, 2013,976201,86
X4: Foundations,440.000,8.0,Nvidia GTX 780/970 or AMD equivalent (Vulkan support required),12.0,Simulation Space Sandbox Sci-fi Action Economy Exploration Open World Space Sim 4X Atmospheric Singleplayer Flight Multiplayer,30 Nov, 2018,2199,74
PLAYERUNKNOWN'S BATTLEGROUNDS,340.000,8.0,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,30.0,Survival Shooter Multiplayer PvP FPS Third-Person Shooter Action Online Co-Op Battle Royale Tactical Co-op Early Access First-Person Violent Strategy Third Person Competitive Team-Based Difficult Simulation,21 Dec, 2017,,0
Farming Simulator 19,400.000,4.0,Nvidia Geforce GTX 650, AMD Radeon HD 7770 graphics card or better (min. 2 GB VRAM, DX11 support),20.0,Simulation Multiplayer Realistic Agriculture Singleplayer Open World Management Resource Management Driving Co-op Moddable Relaxing First-Person Atmospheric Strategy Family Friendly Adventure,19 Nov, 2018,4495,77
Warframe,0,2.0,Nvidia GeForce 8600 GT or ATI Radeon HD 3600,0,Free to Play Action Co-op Multiplayer Third-Person Shooter Sci-fi Ninja Shooter Parkour Space Online Co-Op Futuristic Third Person Massively Multiplayer PvE RPG Singleplayer Hack and Slash FPS Cyberpunk,25 Mar, 2013,233376,92
Football Manager 2019,770.000,2.0,Intel GMA X4500, NVIDIA GeForce 9600M GT or AMD/ATI Mobility Radeon HD 3650 – 256MB VRAM,7.0,Simulation Sports Management Soccer Football Strategy Multiplayer Singleplayer Heist,2 Nov, 2018,1484,80
Tom Clancy's Rainbow Six® Siege,249.000,6.0,NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),61.0,FPS Multiplayer Tactical Action Shooter Team-Based First-Person Co-op Strategy Realistic Competitive Online Co-Op Destruction Horror Atmospheric Physics Singleplayer Massively Multiplayer Simulation Casual,1 Dec, 2015,218071,80
Rocket League®,188.000,2.0,NVIDIA GTX 260 or ATI 4850,7.0,Multiplayer Racing Soccer Sports Competitive Team-Based Online Co-Op Football Action Co-op Fast-Paced Local Multiplayer Funny Great Soundtrack Split Screen Local Co-Op Singleplayer 4 Player Local Casual Indie,7 Jul, 2015,179511,92
Euro Truck Simulator 2,350.000,4.0,GeForce GTS 450-class (Intel HD 4000),0,Simulation Driving Open World Realistic Relaxing Singleplayer Moddable Exploration First-Person Economy Adventure Indie Atmospheric Management TrackIR Casual Sandbox Racing Action RPG,12 Oct, 2012,121730,96
