Quake IV,337.500,0.0,,0,FPS Action Shooter Sci-fi Horror Singleplayer Multiplayer Classic Fast-Paced Gore First-Person Atmospheric Dark Arena Shooter Adventure,18 Oct, 2005,777,84
Thief: Deadly Shadows,187.500,0,,0,Stealth Atmospheric Action Steampunk First-Person Classic Third Person Dark Story Rich Horror Fantasy Singleplayer Adventure Dark Fantasy Masterpiece Medieval Open World RPG,11 Jun, 2004,1131,84
Darkarta: A Broken Heart's Quest Collector's Edition,120.000,1.0,,2.0,Casual Hidden Object Adventure Indie Point & Click Puzzle Female Protagonist Singleplayer Fantasy Mystery Atmospheric Family Friendly Romance Alternate History Historical Great Soundtrack Cult Classic Mouse only Mythology Classic,8 Mar, 2017,161,86
Charlie Murder,120.000,1.0,OpenGL 3.0+ support (2.1 with ARB extensions acceptable),2.0,Action Indie RPG Adventure Beat 'em up Gore Co-op 4 Player Local 2D Great Soundtrack,12 May, 2017,248,91
Save 50% on Gun Wings,29.000,1.0,Integrated Graphics,0.1953125,Bullet Hell Anime Shoot 'Em Up Action Female Protagonist Indie Casual,3 Mar, 2014,143,82
Dynamite Headdy,20.000,0.0,32MB or greater graphics card,0,Platformer Great Soundtrack,2 May, 2012,,0
VectorMan 2,20.000,2.0,32MB or greater graphics card,0,Platformer Action,2 May, 2012,,0
Wonder Boy in Monster World,20.000,2.0,32MB or greater graphics card,0,Metroidvania Classic Side Scroller Retro Action RPG,2 May, 2012,,0
Kentucky Route Zero,220.000,0.5,OpenGL 3.0+ compatible video card,0,Adventure Atmospheric Point & Click Indie Surreal Story Rich Episodic Great Soundtrack Mystery Beautiful Exploration Singleplayer Interactive Fiction Kickstarter 2D Horror Masterpiece,22 Feb, 2013,1238,84
VectorMan 2,20.000,2.0,32MB or greater graphics card,0,Platformer Action,2 May, 2012,,0
Wonder Boy in Monster World,20.000,2.0,32MB or greater graphics card,0,Metroidvania Classic Side Scroller Retro Action RPG,2 May, 2012,,0
Kentucky Route Zero,220.000,0.5,OpenGL 3.0+ compatible video card,0,Adventure Atmospheric Point & Click Indie Surreal Story Rich Episodic Great Soundtrack Mystery Beautiful Exploration Singleplayer Interactive Fiction Kickstarter 2D Horror Masterpiece,22 Feb, 2013,1238,84
